:Product: Daily Solar Data         1995_DSD.txt
:Issued: 0225 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                        1995 Daily Solar Data

                          Sunspot       Stanford GOES8
           Radio  SESC      Area          Solar  X-ray   ------- Flares --------  
           Flux  Sunspot   10E-6    New    Mean   Bkgd    X-ray       Optical     
   Date   10.7cm  Number   Hemis. Regions Field   Flux   C  M  X   Not Available  
18 Mar 95   92      71       260     2       *    A7.7   0  0  0
19 Mar 95   84      69       280     0       *    B1.3   0  0  0
20 Mar 95   89      63       260     0       *    A6.2   1  0  0
21 Mar 95   90      68       270     0     -11    B1.4   1  0  0
22 Mar 95   94      83       270     0       *    B2.0   2  1  0
23 Mar 95   94      78       270     1       *    B2.4   0  0  0
24 Mar 95   95      68       290     0     -13       *   0  0  0
25 Mar 95   92      67       230     0       7    B1.6   0  0  0
26 Mar 95   90      83       310     1       7    B1.3   2  0  0
27 Mar 95   89      56       220     0      19    B1.2   0  0  0
28 Mar 95   84      28       200     0      32    B1.3   1  0  0
29 Mar 95   81      52       180     2       *    A7.4   3  0  0
30 Mar 95   80      46       150     1       *    A4.3   1  0  0
31 Mar 95   77      34       140     0      13    A2.8   0  0  0
01 Apr 95   75      30       100     0       *    A1.5   0  0  0
02 Apr 95   76      29        70     0       *    A1.5   0  0  0
03 Apr 95   75      28        40     0       *       *   0  0  0
04 Apr 95   73      12        10     0       *    A2.1   0  0  0
05 Apr 95   72       0         0     0       *    A1.2   0  0  0
06 Apr 95   72       0         0     0       *    A2.1   0  0  0
07 Apr 95   71       0         0     0       *    A0.5   0  0  0
08 Apr 95   72       0         0     0      14    A0.4   0  0  0
09 Apr 95   73       0         0     0       9    A2.0   0  0  0
10 Apr 95   74      12        10     1       7    A3.1   0  0  0
11 Apr 95   78      18       110     0       6    A5.4   0  0  0
12 Apr 95   82      32       110     0       *       *   4  0  0
13 Apr 95   83      47       210     1       *    B1.5   1  0  0
14 Apr 95    *      67       300     0       *    B1.9   0  0  0
15 Apr 95   91      67       370     0       *       *   0  0  0
16 Apr 95   89      81       280     0     -12       *   0  0  0
17 Apr 95   89       *         *     *       *    A9.6   0  0  0
18 Apr 95   90      64       240     0     -36       *   0  0  0
19 Apr 95   92      64       300     0     -37       *   2  0  0
20 Apr 95   86      36       200     0      24    B1.0   0  0  0
21 Apr 95   85      19       280     0       0    B1.1   1  0  0
22 Apr 95   84      14       100     0      18    B1.6   4  2  0
23 Apr 95   77       *         *     *      33       *   2  0  0
24 Apr 95   73       0         0     0      40    A6.9   0  0  0
25 Apr 95   70       0         0     0      36    A5.6   0  0  0
26 Apr 95   69       0         0     0      18    A0.7   0  0  0
27 Apr 95   68       0         0     0       *    A0.4   *  *  *
28 Apr 95   68       0         0     0       *    A0.5   *  *  *
29 Apr 95   68      12         0     1       *    A0.4   0  0  0
30 Apr 95   67       0         0     0       *    A0.4   0  0  0
01 May 95   69      12        10     1     -46    A0.4   *  *  *
02 May 95   69       0         0     0     -24    A0.5   0  0  0
03 May 95   69       0         0     0     -11       *   0  0  0
04 May 95   71      12        10     1       3    A1.0   0  0  0
05 May 95   73      14        10     0      14    A3.2   0  0  0
06 May 95   76      22       100     2       *    A5.2   0  0  0
07 May 95   78      12       120     0       *    A5.6   0  0  0
08 May 95   78      13       150     0      11    A4.1   0  0  0
09 May 95   78      13       140     0       *    A3.5   0  0  0
10 May 95   78      26       110     1      19    A3.2   0  0  0
11 May 95   77      28        80     0      22    A3.4   0  0  0
12 May 95   81      42        90     0       1    A3.3   0  0  0
13 May 95   81      70       170     2       *    A9.9   2  0  0
14 May 95   80      68       160     0       *    A5.6   1  0  0
15 May 95   86      74       180     0     -32    A9.3   2  0  0
16 May 95   94      77       350     0     -52    B1.3   8  0  0
17 May 95   95      59       560     0     -24    B2.7   2  0  0
18 May 95   91      56       690     0      11    B1.8   1  0  0
19 May 95   86      44       540     0      23    B1.4   0  0  0
20 May 95   81      34       320     0      49    B1.2   0  0  0
21 May 95   75      20       250     0       *    B1.4   0  0  0
22 May 95   71      13       110     0      22    A5.9   0  0  0
23 May 95   69       0         0     0      17       *   0  0  0
24 May 95   67       0         0     0      -2    A1.0   0  0  0
25 May 95   67       0         0     0     -22    A0.5   0  0  0
26 May 95   66       0         0     0     -46    A0.4   0  0  0
27 May 95   66       0         0     0     -37       *   0  0  0
28 May 95   67      13        10     1     -39    A0.5   0  0  0
29 May 95   67      17        30     0     -15    A0.5   0  0  0
30 May 95   68      13        10     0     -26    A0.4   0  0  0
31 May 95   69      12         0     0       *    A0.5   0  0  0
01 Jun 95   71      12         0     0       *       *   0  0  0
02 Jun 95   73      12        10     1       *    A1.9   0  0  0
03 Jun 95   75      35        10     1       *    A5.9   0  0  0
04 Jun 95   79      34        40     0      18    A3.8   0  0  0
05 Jun 95   82      68       180     2       *    A8.2   1  0  0
06 Jun 95   79      47       170     0      10    A9.3   1  0  0
07 Jun 95   82      38       250     0      -3    A6.7   0  0  0
08 Jun 95   84      49       -12     0     -12    A5.5   0  0  0
09 Jun 95   86      41       -14     0     -14    A5.9   0  0  0
10 Jun 95   84      67       -19     2     -19    A9.8   0  0  0
11 Jun 95   83      32       -21     0     -21    A8.8   0  0  0
12 Jun 95   81      28       -14     0     -14    A6.9   0  0  0
13 Jun 95   77      25       120     0       *    A6.5   0  0  0
14 Jun 95   76      14        70     0      -6    A5.8   0  0  0
15 Jun 95   73       0         0     0       *    A7.8   0  0  0
16 Jun 95   71       0         0     0      44       *   0  0  0
17 Jun 95   70      11         0     1      39       *   0  0  0
18 Jun 95   70      24        90     2      44       *   0  0  0
19 Jun 95   71      28       120     0      14    A5.4   0  0  0
20 Jun 95   72      20       110     0     -13    B1.0   0  0  0
21 Jun 95   72      25       130     0     -24    A3.2   0  0  0
22 Jun 95   73      27        60     0     -36    A4.2   0  0  0
23 Jun 95   72      34        60     1     -49    A3.4   0  0  0
24 Jun 95   71      19        80     0     -31    A4.8   0  0  0
25 Jun 95   71      17        60     0     -22    A3.6   0  0  0
26 Jun 95   71      18        40     0      -6    A2.2   0  0  0
27 Jun 95   72      13        10     0       4    A2.2   0  0  0
28 Jun 95   74      13        10     0      11    A3.5   0  0  0
29 Jun 95   78      38        10     3      29    A3.7   0  0  0
30 Jun 95   78      45       160     1      20    A9.6   0  0  0
01 Jul 95   79      43       240     0      23    A8.6   1  0  0
02 Jul 95   78      41       220     0      12    B1.6   0  0  0
03 Jul 95   78      20       210     0       3    A3.6   0  0  0
04 Jul 95   81      32       180     0      -2    A4.7   0  0  0
05 Jul 95   80      35       190     0     -22       *   0  0  0
06 Jul 95   80      52       260     1      -7       *   *  *  *
07 Jul 95   81      51       290     1       6       *   0  0  0
08 Jul 95   81      32       240     0       2    A6.4   0  0  0
09 Jul 95   80      42       250     0       2    A4.9   0  0  0
10 Jul 95   77      33       150     0       1       *   0  0  0
11 Jul 95   76      29       180     0      22    A4.3   0  0  0
12 Jul 95   74      36       130     1      29    A3.2   0  0  0
13 Jul 95   73      23        70     0      38    A3.3   0  0  0
14 Jul 95   74      20        70     0      34    A2.9   0  0  0
15 Jul 95   74      29       170     0      34    A7.0   0  0  0
16 Jul 95   73      24       150     0      27    A2.2   0  0  0
17 Jul 95   72      22        90     0      -5    A3.4   0  0  0
18 Jul 95   72      19        70     0     -17    A2.8   0  0  0
19 Jul 95   71      33        70     1     -31       *   0  0  0
20 Jul 95   70      43        30     1     -20    A1.4   0  0  0
21 Jul 95   69      26        10     0      -5    A1.3   0  0  0
22 Jul 95   69      15        10     0      -2    A1.1   0  0  0
23 Jul 95   68       0         0     0       0    A0.8   0  0  0
24 Jul 95   69       0         0     0       2    A0.5   0  0  0
25 Jul 95   70       0         0     0       3    A0.5   0  0  0
26 Jul 95   69      11        10     1      -1    A0.7   0  0  0
27 Jul 95   70      12         0     0      10    A0.7   0  0  0
28 Jul 95   70       0         0     0      14    A0.7   0  0  0
29 Jul 95   70       0         0     0       4    A0.5   0  0  0
30 Jul 95   70       0         0     0      -3       *   0  0  0
31 Jul 95   71      15        10     1       1    A0.9   0  0  0
01 Aug 95   73      20        40     0      -4    A1.0   0  0  0
02 Aug 95   74      24        30     0      -2    A1.8   0  0  0
03 Aug 95   73      26        40     0      10    A2.1   0  0  0
04 Aug 95   73      29        30     1       3    A2.1   0  0  0
05 Aug 95   75      28        10     1       7    A1.6   0  0  0
06 Aug 95   75      56        90     0      18    A3.1   0  0  0
07 Aug 95   74      33        40     0      10    A2.4   0  0  0
08 Aug 95   74      20        10     0       *    A2.4   0  0  0
09 Aug 95   73       0         0     0      21    A2.8   0  0  0
10 Aug 95   73      24        30     2      26    A2.7   0  0  0
11 Aug 95   73      22        20     0       *    A2.5   0  0  0
12 Aug 95   72      12        10     1       *    A2.7   0  0  0
13 Aug 95   71      11         0     0       *    A1.7   0  0  0
14 Aug 95   70       0         0     0     -13    A0.8   0  0  0
15 Aug 95   71      38        30     1     -14    A0.8   0  0  0
16 Aug 95   70      41        40     0     -12    A1.3   0  0  0
17 Aug 95   70      36        20     0     -14    A1.0   0  0  0
18 Aug 95   72       0         0     0      -4    A1.0   1  0  0
19 Aug 95   72      12         0     0      -2    A1.0   0  0  0
20 Aug 95   71      13         0     0      -3    A0.6   0  0  0
21 Aug 95   71       0         0     0      -1    A0.5   0  0  0
22 Aug 95   70      11         0     1       9    A0.5   0  0  0
23 Aug 95   74      21        30     0       8    A0.5   0  0  0
24 Aug 95   77      40        90     1       7    A4.8   1  0  0
25 Aug 95   77      59       260     2       3    A5.1   0  0  0
26 Aug 95   77      63       250     0      -5    A5.6   0  0  0
27 Aug 95   80      49       250     0       1    A7.7   0  0  0
28 Aug 95   82      33       160     0       1    A5.5   0  0  0
29 Aug 95   78      21       130     0      -1    A6.2   0  0  0
30 Aug 95   77      19       100     0       4       *   0  0  0
31 Aug 95   76      18       110     0       9    A3.2   0  0  0
01 Sep 95   74      13       100     0      17    A2.4   0  0  0
02 Sep 95   73      11        80     0      21    A1.6   0  0  0
03 Sep 95   74      11        70     0      18    A1.1   0  0  0
04 Sep 95   74      23       100     0      22    A1.5   0  0  0
05 Sep 95   75      11        80     0      18    B1.2   1  0  0
06 Sep 95   72      11        70     0       9       *   0  0  0
07 Sep 95   70       0         0     0       5    A1.2   0  0  0
08 Sep 95   69       0         0     0      -1    A1.0   0  0  0
09 Sep 95   69       0         0     0      -7    A0.8   0  0  0
10 Sep 95   68       0         0     0      -4       *   0  0  0
11 Sep 95   68       0         0     0       0       *   0  0  0
12 Sep 95   69      12         0     1     -13    A0.4   0  0  0
13 Sep 95   69      11         0     0      -2    A0.4   0  0  0
14 Sep 95   69       0         0     0     -11    A0.5   0  0  0
15 Sep 95   70      15        20     1     -13    A0.8   0  0  0
16 Sep 95   70      11         0     0       2    A1.0   0  0  0
17 Sep 95   70       0         0     0       4    A1.7   0  0  0
18 Sep 95   72       0         0     0       8    A2.9   0  0  0
19 Sep 95   74      18       100     1      10    A7.0   0  0  0
20 Sep 95   76      21       120     0      14    A5.4   0  0  0
21 Sep 95   74      42        90     2      -3       *   *  *  *
22 Sep 95   75      42       110     0     -16       *   *  *  *
23 Sep 95   75      50        80     0      -2    A2.1   0  0  0
24 Sep 95   74      43        60     0      19    A1.5   0  0  0
25 Sep 95   74      38        30     0      -4    A1.6   0  0  0
26 Sep 95   74      40        30     0      14    A1.1   0  0  0
27 Sep 95   72      41        30     0      15    A1.1   0  0  0
28 Sep 95   73      11         0     0      20    A1.0   0  0  0
29 Sep 95   74      11         0     0       *       *   0  0  0
30 Sep 95   73      11         0     0       *       *   *  *  *
01 Oct 95   73       0         0     0      21       *   *  *  *
02 Oct 95   73       0         0     0      13    A0.5   *  *  *
03 Oct 95   71       0         0     0      23    A0.5   0  0  0
04 Oct 95   71       0         0     0      12    A0.4   0  0  0
05 Oct 95   70       0         0     0       8    A0.4   *  *  *
06 Oct 95   71       0         0     0      -1    A0.9   0  0  0
07 Oct 95   73      11       120     1      -9    A1.8   0  0  0
08 Oct 95   74      25       190     1      -7    A3.6   0  0  0
09 Oct 95   76      31       190     0     -18    A6.2   0  0  0
10 Oct 95   82      49       240     1     -13    A3.5   2  0  0
11 Oct 95   89      72       460     1      -2    B1.9   5  0  0
12 Oct 95   92      73       690     0       9    B1.7   7  1  0
13 Oct 95   88      74       560     0       3    B2.9   2  1  0
14 Oct 95   87      73       450     0       1    B1.5   7  0  0
15 Oct 95   83      50       360     0       8    B1.1   0  0  0
16 Oct 95   86      67       370     2      17    A4.3   0  0  0
17 Oct 95   85      55       390     1      21    A4.3   0  0  0
18 Oct 95   82      43       350     0       8    A5.3   0  0  0
19 Oct 95   80      29       240     0      -4    A5.7   0  0  0
20 Oct 95   83      38       260     2      -6    A6.4   0  1  0
21 Oct 95   81      40       300     0     -12    B1.1   1  0  0
22 Oct 95   80      47       320     0      -6    B1.3   0  0  0
23 Oct 95   77      35       160     0      -6    A6.4   0  0  0
24 Oct 95   74      35       110     0       0    A3.1   0  0  0
25 Oct 95   74      36       100     0      16    A1.9   0  0  0
26 Oct 95   74      30        50     0       7    A2.0   0  0  0
27 Oct 95   74      15        30     0       2    A1.4   0  0  0
28 Oct 95   74      15        20     0      15    A1.7   0  0  0
29 Oct 95   74      12        10     0      -3    A1.3   0  0  0
30 Oct 95   73      11         0     0       *    A1.2   0  0  0
31 Oct 95   73       0         0     0       *    A1.1   0  0  0
01 Nov 95   74       0         0     0       *       *   *  *  0
02 Nov 95   73       0         0     *      -7       *   *  *  0
03 Nov 95    *      12         0     *      -5    A1.0   *  *  0
04 Nov 95   73      11         0     0      -9    A8.5   0  0  0
05 Nov 95   75       0         0     0       6    A2.6   0  0  0
06 Nov 95   75       0         0     1      13    A1.2   0  0  0
07 Nov 95   74      11       100     0       3    A1.2   0  0  0
08 Nov 95   76      11       150     0       2    A1.2   0  0  0
09 Nov 95   77      13       120     0       4    A1.5   0  0  0
10 Nov 95   78       0         0     0       3    A2.0   1  0  0
11 Nov 95   77      14       120     0      -4    A1.2   0  0  0
12 Nov 95   76       0         0     0       7    A1.0   0  0  0
13 Nov 95   73      12       110     0       0    A0.7   0  0  0
14 Nov 95   75      12       130     0      -2    A0.5   0  0  0
15 Nov 95   77      29       170     1       2    A1.4   0  0  0
16 Nov 95   76      49       200     2      -9    A1.2   0  0  0
17 Nov 95   75      47       180     0     -12    A3.7   0  0  0
18 Nov 95   75      61       170     1     -12    A1.3   0  0  0
19 Nov 95   74      15        40     0     -14    A1.5   0  0  0
20 Nov 95   73      15        30     0       7       *   0  0  0
21 Nov 95   73      12        20     0       *    A0.6   0  0  0
22 Nov 95   73       0         0     0       7    A0.5   0  0  0
23 Nov 95   73      12         0     0      12    A0.5   0  0  0
24 Nov 95   72       0         0     0      12    A0.4   0  0  0
25 Nov 95   73       0         0     0       1    A0.4   0  0  0
26 Nov 95   73       0         0     0     -10    A0.4   0  0  0
27 Nov 95   71      11         0     1      -7    A0.4   0  0  0
28 Nov 95   73       0         0     0     -16    A0.5   0  0  0
29 Nov 95   72       0         0     0     -11    A2.3   0  0  0
30 Nov 95   74       0         0     0     -13    A0.5   0  0  0
01 Dec 95   73      16        80     0       1    A0.6   0  0  0
02 Dec 95   73      16        40     0      -2       *   0  0  0
03 Dec 95   73      23        90     1      -1       *   0  0  0
04 Dec 95   73      22        60     0       *    A0.5   0  0  0
05 Dec 95   74      22        80     0      -5    A0.4   0  0  0
06 Dec 95   74      15        80     0       *    A0.5   0  0  0
07 Dec 95   74      13        70     0       *    A0.6   0  0  0
08 Dec 95   74      11        60     0       *    A0.5   0  0  0
09 Dec 95   74      29       100     1       *    A0.5   0  0  0
10 Dec 95   73      23       120     0       *    A0.5   0  0  0
11 Dec 95   73       *         *     *       *    A0.5   0  0  0
12 Dec 95   72      15       100     0       *    A1.0   0  0  0
13 Dec 95   73      17        90     0       *    A0.5   0  0  0
14 Dec 95   70      14        70     0       *    A0.7   0  0  0
15 Dec 95   70      11        50     0       *    A0.5   0  0  0
16 Dec 95   70       0         0     0       *    A0.4   0  0  0
17 Dec 95   69       0         0     0       *    A0.4   0  0  0
18 Dec 95   69       0         0     0       *    A0.3   0  0  0
19 Dec 95    *       0         0     0       *       *   0  0  0
20 Dec 95   70      11         0     1       *    A0.4   0  0  0
21 Dec 95   70      13        10     0       *    A0.4   *  *  *
22 Dec 95   71       0         0     0       *    A0.4   0  0  0
23 Dec 95   72      11         0     0       *       *   0  0  0
24 Dec 95   72       0         0     0       *    A0.4   0  0  0
25 Dec 95   73       0         0     0       *    A0.6   0  0  0
26 Dec 95   74       0         0     0       *    A0.9   0  0  0
27 Dec 95   74      28        60     0       *    A0.9   0  0  0
28 Dec 95   76      35       100     0       *    A1.3   0  0  0
29 Dec 95   76      11         0     0       *    A3.0   0  0  0
30 Dec 95   75      12        10     0       *    A2.2   0  0  0
31 Dec 95   75      11        10     0       *       *   0  0  0
