:Product: Daily Particle Data        2010_DPD.txt
:Issued: 1900 UT 07 Jan 2010
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2010 Daily Particle Data
# GOES-11 Jan 01 to Mar 31, then GOES-13 
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.6 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2010 02 09    4.4e+05  1.9e+04  4.1e+03   3.6e+09    8.6e+05            98.50
2010 02 10    2.8e+05  1.9e+04  4.1e+03   3.6e+09    7.0e+05           100.08
2010 02 11    4.3e+05  1.9e+04  3.8e+03   3.7e+09    9.1e+05            98.90
2010 02 12    3.0e+05  1.9e+04  4.0e+03   1.5e+09    2.4e+05            99.50
2010 02 13    4.0e+05  1.9e+04  4.0e+03   3.4e+09    3.2e+05            97.00
2010 02 14    6.8e+05  1.9e+04  4.0e+03   2.2e+09    3.8e+05            99.50
2010 02 15    8.6e+05  2.0e+04  4.1e+03   1.3e+09    8.4e+04            99.60
2010 02 16    9.7e+05  1.9e+04  4.1e+03   4.7e+09    1.2e+05            99.60
2010 02 17    1.6e+05  1.9e+04  4.0e+03   3.6e+09    4.6e+05            97.60
2010 02 18    5.9e+05  1.9e+04  4.1e+03   4.5e+09    7.2e+05           100.17
2010 02 19    4.2e+05  1.9e+04  4.0e+03   6.3e+09    1.4e+06            97.20
2010 02 20    4.8e+05  1.9e+04  4.1e+03   5.9e+09    1.9e+06           100.01
2010 02 21    5.0e+05  1.8e+04  4.1e+03   5.3e+09    1.8e+06            98.60
2010 02 22    4.0e+05  1.9e+04  4.2e+03   4.4e+09    1.1e+06            99.90
2010 02 23    2.7e+05  2.0e+04  4.3e+03   3.0e+09    7.3e+05            98.70
2010 02 24    2.7e+05  1.9e+04  4.4e+03   2.9e+09    7.6e+05           100.11
2010 02 25    2.9e+05  1.9e+04  4.3e+03   3.2e+09    1.1e+06            98.80
2010 02 26    2.3e+05  2.1e+04  4.7e+03   2.2e+09    4.9e+05           100.97
2010 02 27    3.7e+05  2.0e+04  4.5e+03   2.2e+09    6.9e+05            96.50
2010 02 28    4.0e+05  1.9e+04  4.5e+03   1.7e+09    6.1e+05           100.17
2010 03 01    3.7e+05  1.9e+04  4.5e+03   9.3e+08    2.9e+05            98.50
2010 03 02    3.6e+05  2.0e+04  4.4e+03   5.3e+08    8.3e+04            99.60
2010 03 03    3.3e+05  2.0e+04  4.4e+03   8.0e+08    1.1e+05            99.80
2010 03 04    2.2e+05  2.2e+04  6.3e+03   1.6e+09    6.9e+04            99.70
2010 03 05    1.6e+05  1.9e+04  4.2e+03   1.0e+09    9.6e+04            99.70
2010 03 06    3.2e+05  2.0e+04  4.2e+03   1.6e+09    2.6e+05           100.00
2010 03 07    5.1e+05  1.9e+04  4.1e+03   6.5e+08    1.0e+05            99.40
2010 03 08    3.7e+05  1.9e+04  4.1e+03   8.2e+08    8.1e+04            99.70
2010 03 09    6.8e+05  1.9e+04  4.0e+03   1.4e+09    1.2e+05            99.80
2010 03 10    5.3e+05  1.8e+04  3.7e+03   9.5e+08    8.4e+04            99.70
2010 03 11    9.0e+05  1.8e+04  3.7e+03   1.5e+10    5.8e+06            99.30
2010 03 12    8.9e+05  1.7e+04  3.4e+03   3.8e+10    5.2e+07            98.90
2010 03 13    8.6e+05  1.7e+04  3.4e+03   5.8e+10    1.6e+08          -999.99
2010 03 14    8.3e+05  1.8e+04  4.0e+03   5.1e+10    1.6e+08          -999.99
2010 03 15    1.2e+06  1.9e+04  4.3e+03   4.1e+10    1.5e+08          -999.99
2010 03 16    6.2e+05  1.9e+04  4.2e+03   2.0e+10    3.8e+07          -999.99
2010 03 17    1.2e+06  1.9e+04  4.2e+03   1.1e+10    1.7e+07          -999.99
2010 03 18    1.1e+06  1.8e+04  3.9e+03   2.5e+09    2.4e+06          -999.99
2010 03 19    8.1e+05  1.9e+04  4.1e+03   2.0e+09    1.9e+06          -999.99
2010 03 20    6.0e+05  1.8e+04  3.8e+03   3.0e+09    2.6e+06          -999.99
2010 03 21    5.8e+05  1.9e+04  3.9e+03   4.6e+09    3.3e+06          -999.99
2010 03 22    5.9e+05  1.9e+04  4.0e+03   4.5e+09    4.0e+06          -999.99
2010 03 23    6.9e+05  1.9e+04  4.4e+03   4.2e+09    4.4e+06          -999.99
2010 03 24    7.3e+05  1.9e+04  4.5e+03   2.8e+09    3.0e+06           100.46
2010 03 25    7.8e+05  1.8e+04  4.2e+03   8.0e+08    4.8e+05           100.03
2010 03 26    3.0e+05  1.8e+04  4.1e+03   2.5e+08    9.3e+04            99.90
2010 03 27    3.8e+05  1.8e+04  4.0e+03   2.8e+08    1.7e+05            99.90
2010 03 28    4.7e+05  1.8e+04  4.2e+03   6.3e+08    8.0e+04            99.80
2010 03 29    5.7e+05  1.8e+04  4.0e+03   1.7e+09    1.1e+05           100.49
2010 03 30    5.3e+05  1.9e+04  4.3e+03   2.2e+09    1.7e+05           100.33
2010 03 31    7.6e+05  1.9e+04  4.3e+03   4.4e+09    5.6e+05            99.80
2010 04 01    9.4e+05  1.8e+04  4.0e+03   3.8e+09    2.3e+05          -999.99
2010 04 02    8.0e+05  1.8e+04  3.9e+03   1.6e+10    1.2e+07          -999.99
2010 04 03    2.7e+06  1.7e+04  3.7e+03   2.3e+10    3.4e+07          -999.99
2010 04 04    2.5e+06  1.8e+04  3.8e+03   3.1e+10    8.4e+07          -999.99
2010 04 05    2.6e+07  1.6e+04  3.3e+03   2.6e+10    7.1e+07          -999.99
2010 04 06    2.6e+07  1.6e+04  3.1e+03   9.2e+10    2.5e+09          -999.99
2010 04 07    9.8e+06  1.7e+04  3.6e+03   1.3e+11    5.4e+09          -999.99
2010 04 08    4.5e+06  1.6e+04  3.6e+03   1.4e+11    4.6e+09          -999.99
2010 04 09    2.1e+06  1.6e+04  3.6e+03   1.3e+11    3.5e+09          -999.99
2010 04 10    3.3e+06  1.7e+04  3.6e+03   1.3e+11    4.4e+09          -999.99
2010 04 11    3.6e+06  1.7e+04  3.6e+03   9.9e+10    2.8e+09          -999.99
2010 04 12    8.9e+05  1.7e+04  3.5e+03   6.4e+09    1.4e+07          -999.99
2010 04 13    6.3e+05  1.9e+04  4.5e+03   7.8e+09    1.9e+07          -999.99
2010 04 14    5.0e+05  1.8e+04  7.3e+03   7.5e+08    3.0e+07          -999.99
2010 04 15    2.1e+05  1.8e+04  6.8e+03   7.0e+08    9.0e+06          -999.99
2010 04 16    2.2e+05  1.7e+04  7.1e+03   8.8e+08    1.3e+07          -999.99
2010 04 17    2.4e+05  1.7e+04  6.7e+03   7.9e+08    1.6e+07          -999.99
2010 04 18    2.8e+05  1.8e+04  7.2e+03   7.9e+08    1.8e+07          -999.99
2010 04 19    3.0e+05  1.8e+04  7.7e+03   5.7e+08    1.8e+07          -999.99
2010 04 20    2.7e+05  1.8e+04  7.2e+03   4.6e+08    1.6e+07          -999.99
2010 04 21    2.0e+05  1.8e+04  7.4e+03   2.2e+08    4.8e+06          -999.99
2010 04 22    1.9e+05  1.8e+04  7.1e+03   2.2e+08    5.0e+06          -999.99
2010 04 23    6.7e+04  1.8e+04  7.0e+03   2.0e+07    9.7e+05          -999.99
2010 04 24    1.0e+05  1.5e+04  3.7e+03   2.6e+08    1.2e+06          -999.99
2010 04 25    2.2e+05  1.6e+04  3.9e+03   5.7e+08    1.7e+06          -999.99
2010 04 26    3.9e+05  1.5e+04  3.8e+03   5.3e+08    2.0e+06          -999.99
2010 04 27    3.5e+05  1.5e+04  4.0e+03   3.7e+08    2.7e+06          -999.99
2010 04 28    2.5e+05  1.5e+04  4.0e+03   2.9e+08    2.2e+06          -999.99
2010 04 29    2.1e+05  1.5e+04  3.8e+03   2.0e+08    2.6e+06          -999.99
2010 04 30    1.3e+05  1.5e+04  3.7e+03   1.9e+08    3.8e+06          -999.99
2010 05 01    1.8e+05  1.5e+04  3.8e+03   2.6e+08    6.5e+06          -999.99
2010 05 02    3.7e+05  1.5e+04  3.8e+03   1.4e+08    2.0e+06          -999.99
2010 05 03    1.2e+06  1.4e+04  3.5e+03   3.0e+09    1.4e+08          -999.99
2010 05 04    9.2e+05  1.4e+04  3.4e+03   8.7e+09    8.8e+08          -999.99
2010 05 05    4.9e+05  1.4e+04  3.4e+03   8.2e+09    9.1e+08          -999.99
2010 05 06    7.0e+05  1.5e+04  3.5e+03   8.0e+09    1.1e+09          -999.99
2010 05 07    5.4e+05  1.9e+04  7.6e+03   5.6e+09    6.3e+08          -999.99
2010 05 08    1.7e+05  1.8e+04  7.5e+03   4.1e+09    4.1e+08          -999.99
2010 05 09    2.2e+05  1.9e+04  8.0e+03   5.3e+09    5.6e+08          -999.99
2010 05 10    5.6e+05  2.0e+04  8.3e+03   4.5e+09    5.4e+08          -999.99
2010 05 11    5.9e+05  2.0e+04  8.2e+03   2.5e+09    2.1e+08          -999.99
2010 05 12    3.9e+05  2.0e+04  8.0e+03   1.6e+09    1.0e+08          -999.99
2010 05 13    5.3e+05  2.0e+04  8.6e+03   1.9e+09    1.6e+08          -999.99
2010 05 14    6.9e+05  2.0e+04  8.7e+03   1.9e+09    1.9e+08          -999.99
2010 05 15    4.2e+05  2.0e+04  8.7e+03   1.7e+09    1.8e+08          -999.99
2010 05 16    7.2e+05  2.1e+04  9.3e+03   1.6e+09    1.9e+08          -999.99
2010 05 17    4.7e+05  1.9e+04  8.3e+03   6.2e+08    4.4e+07          -999.99
2010 05 18    1.0e+05  1.9e+04  8.0e+03   9.0e+07    3.7e+06          -999.99
2010 05 19    2.5e+05  1.9e+04  7.8e+03   1.2e+08    3.1e+06          -999.99
2010 05 20    1.9e+05  1.8e+04  7.3e+03   1.8e+08    2.9e+06          -999.99
2010 05 21    1.8e+05  1.9e+04  7.5e+03   4.9e+08    4.4e+06          -999.99
2010 05 22    2.0e+05  1.9e+04  7.9e+03   6.4e+08    5.4e+06          -999.99
2010 05 23    2.2e+05  1.9e+04  7.6e+03   6.2e+08    6.4e+06          -999.99
2010 05 24    3.5e+05  1.8e+04  7.1e+03   6.7e+08    7.1e+06          -999.99
2010 05 25    2.4e+05  1.5e+04  3.9e+03   3.4e+08    6.3e+06          -999.99
2010 05 26    2.3e+05  1.5e+04  4.2e+03   1.2e+08    2.1e+06          -999.99
2010 05 27    1.1e+05  1.5e+04  4.0e+03   4.4e+07    1.8e+06          -999.99
2010 05 28    4.4e+05  1.5e+04  3.7e+03   4.6e+07    1.7e+06          -999.99
2010 05 29    3.6e+05  1.4e+04  3.2e+03   4.6e+08    4.8e+06          -999.99
2010 05 30    5.2e+05  1.5e+04  3.4e+03   1.8e+09    6.7e+07          -999.99
2010 05 31    1.1e+06  1.5e+04  3.5e+03   3.3e+09    1.5e+08          -999.99
2010 06 01    4.0e+05  1.5e+04  3.6e+03   7.2e+09    7.4e+08          -999.99
2010 06 02    3.5e+05  1.5e+04  3.6e+03   7.6e+09    7.9e+08          -999.99
2010 06 03    7.0e+05  1.5e+04  3.4e+03   5.2e+09    5.3e+08          -999.99
2010 06 04    8.8e+05  1.5e+04  3.6e+03   2.6e+09    8.0e+07          -999.99
2010 06 05    7.1e+05  1.4e+04  3.6e+03   7.1e+09    3.3e+08          -999.99
2010 06 06    4.1e+05  1.5e+04  3.7e+03   5.9e+09    3.0e+08          -999.99
2010 06 07    2.1e+05  1.5e+04  3.7e+03   3.8e+09    2.3e+08          -999.99
2010 06 08    3.0e+05  1.6e+04  4.0e+03   3.8e+09    3.2e+08          -999.99
2010 06 09    4.5e+05  1.6e+04  4.0e+03   3.2e+09    3.2e+08          -999.99
2010 06 10    3.8e+05  1.5e+04  4.0e+03   1.6e+09    7.2e+07          -999.99
2010 06 11    2.7e+05  1.5e+04  3.9e+03   1.3e+09    5.5e+07          -999.99
2010 06 12    5.8e+05  3.1e+04  4.2e+03   1.4e+09    6.9e+07          -999.99
2010 06 13    1.3e+06  2.2e+04  4.0e+03   8.7e+08    4.2e+07          -999.99
2010 06 14    5.0e+05  1.7e+04  3.9e+03   5.9e+08    2.5e+07          -999.99
2010 06 15    5.3e+05  1.5e+04  3.8e+03   3.2e+08    1.7e+07          -999.99
2010 06 16    1.9e+05  1.4e+04  3.7e+03   6.6e+08    6.8e+06          -999.99
2010 06 17    4.9e+05  1.4e+04  3.5e+03   2.2e+09    4.5e+07          -999.99
2010 06 18    3.4e+05  1.4e+04  3.4e+03   2.7e+09    5.4e+07          -999.99
2010 06 19    3.9e+05  1.4e+04  3.6e+03   3.0e+09    7.5e+07          -999.99
2010 06 20    6.1e+05  1.4e+04  3.8e+03   3.0e+09    8.4e+07          -999.99
2010 06 21    5.6e+05  1.5e+04  4.3e+03   2.2e+09    5.9e+07          -999.99
2010 06 22    8.9e+05  1.9e+04  7.6e+03   1.9e+09    5.7e+07          -999.99
2010 06 23    5.0e+05  1.9e+04  7.8e+03   1.4e+09    3.2e+07          -999.99
2010 06 24    7.6e+05  1.9e+04  8.0e+03   1.2e+09    3.1e+07          -999.99
2010 06 25    6.6e+05  1.9e+04  8.1e+03   6.7e+08    2.0e+07          -999.99
2010 06 26    1.3e+05  2.0e+04  8.0e+03   8.7e+07    1.6e+06          -999.99
2010 06 27    1.9e+05  1.9e+04  7.6e+03   1.0e+09    3.9e+06          -999.99
2010 06 28    2.5e+05  1.9e+04  7.5e+03   2.8e+09    3.0e+07          -999.99
2010 06 29    3.4e+05  1.9e+04  7.6e+03   2.9e+09    4.3e+07          -999.99
2010 06 30    6.9e+05  1.8e+04  7.2e+03   2.7e+09    4.5e+07          -999.99
2010 07 01    4.3e+05  1.8e+04  7.3e+03   5.2e+09    1.8e+08          -999.99
2010 07 02    9.2e+05  1.8e+04  6.7e+03   6.0e+09    3.6e+08          -999.99
2010 07 03    9.6e+05  1.8e+04  6.7e+03   6.2e+09    3.9e+08          -999.99
2010 07 04    3.6e+05  1.7e+04  6.9e+03   5.2e+09    2.9e+08          -999.99
2010 07 05    5.6e+05  1.8e+04  7.3e+03   4.9e+09    3.0e+08          -999.99
2010 07 06    4.5e+05  1.8e+04  7.4e+03   4.7e+09    2.9e+08          -999.99
2010 07 07    6.1e+05  2.0e+04  7.7e+03   4.6e+09    3.2e+08          -999.99
2010 07 08    8.3e+05  1.9e+04  7.7e+03   4.3e+09    3.2e+08          -999.99
2010 07 09    2.7e+05  1.8e+04  6.9e+03   2.0e+09    8.1e+07          -999.99
2010 07 10    2.6e+05  1.5e+04  3.6e+03   1.4e+09    6.2e+07          -999.99
2010 07 11    5.9e+05  1.5e+04  3.7e+03   1.0e+09    5.7e+07          -999.99
2010 07 12    5.8e+05  1.5e+04  3.6e+03   7.0e+08    2.1e+07          -999.99
2010 07 13    6.3e+05  1.5e+04  4.1e+03   5.2e+08    1.8e+07          -999.99
2010 07 14    1.0e+06  1.6e+04  4.0e+03   3.5e+08    1.6e+07          -999.99
2010 07 15    3.0e+05  1.4e+04  3.7e+03   7.8e+08    4.2e+06          -999.99
2010 07 16    2.2e+05  1.4e+04  3.6e+03   1.1e+09    4.3e+06          -999.99
2010 07 17    2.5e+05  1.5e+04  3.5e+03   1.1e+09    5.2e+06          -999.99
2010 07 18    3.0e+05  1.5e+04  3.8e+03   1.1e+09    6.0e+06          -999.99
2010 07 19    5.6e+05  1.4e+04  3.6e+03   1.1e+09    8.4e+06          -999.99
2010 07 20    6.7e+05  1.4e+04  3.6e+03   5.8e+08    4.0e+06          -999.99
2010 07 21    4.4e+05  1.4e+04  3.5e+03   3.5e+08    2.9e+06          -999.99
2010 07 22    1.7e+05  1.4e+04  3.7e+03   2.7e+08    2.1e+06          -999.99
2010 07 23    3.0e+05  1.4e+04  3.4e+03   1.5e+08    1.7e+06          -999.99
2010 07 24    3.8e+05  1.4e+04  3.3e+03   1.2e+08    1.4e+06          -999.99
2010 07 25    5.5e+05  1.4e+04  3.3e+03   1.4e+08    1.6e+06          -999.99
2010 07 26    2.8e+05  1.5e+04  3.3e+03   3.1e+08    1.6e+06          -999.99
2010 07 27    6.8e+05  1.5e+04  3.5e+03   7.3e+08    3.4e+06          -999.99
2010 07 28    1.1e+06  1.5e+04  3.4e+03   3.3e+09    8.1e+07          -999.99
2010 07 29    7.2e+05  1.4e+04  3.4e+03   6.6e+09    4.1e+08          -999.99
2010 07 30    6.9e+05  1.4e+04  3.5e+03   6.2e+09    3.9e+08          -999.99
2010 07 31    5.2e+05  1.4e+04  3.3e+03   4.4e+09    2.3e+08          -999.99
2010 08 01    8.7e+05  1.5e+04  3.6e+03   4.3e+09    2.4e+08          -999.99
2010 08 02    1.6e+06  1.8e+04  3.3e+03   4.0e+09    2.3e+08          -999.99
2010 08 03    1.7e+07  1.1e+05  3.4e+03   2.3e+09    1.1e+08          -999.99
2010 08 04    1.1e+07  4.3e+04  2.8e+03   6.3e+08    4.5e+06          -999.99
2010 08 05    1.2e+06  1.5e+04  3.5e+03   9.2e+08    8.5e+06          -999.99
2010 08 06    4.6e+05  1.4e+04  3.6e+03   4.1e+09    1.1e+08          -999.99
2010 08 07    3.4e+05  1.5e+04  3.9e+03   5.2e+09    2.5e+08          -999.99
2010 08 08    5.3e+05  2.8e+04  3.6e+03   4.6e+09    2.4e+08          -999.99
2010 08 09    5.1e+05  2.0e+04  3.6e+03   2.7e+09    1.5e+08          -999.99
2010 08 10    4.2e+05  1.6e+04  3.5e+03   1.6e+09    8.4e+07          -999.99
2010 08 11    3.0e+05  1.5e+04  3.4e+03   1.8e+09    6.4e+07          -999.99
2010 08 12    1.5e+05  1.4e+04  3.5e+03   1.4e+09    4.0e+07          -999.99
2010 08 13    1.4e+05  1.4e+04  3.5e+03   1.5e+09    6.2e+07          -999.99
2010 08 14    1.4e+06  2.6e+05  4.1e+03   1.9e+09    9.9e+07          -999.99
2010 08 15    3.7e+06  6.5e+04  3.6e+03   1.5e+09    7.3e+07          -999.99
2010 08 16    4.6e+05  1.8e+04  3.4e+03   9.9e+08    3.6e+07          -999.99
2010 08 17    2.3e+05  1.5e+04  3.6e+03   1.1e+09    3.4e+07          -999.99
2010 08 18    9.7e+05  1.2e+05  3.6e+03   1.1e+09    2.5e+07          -999.99
2010 08 19    2.0e+06  3.2e+04  3.7e+03   1.2e+09    2.8e+07          -999.99
2010 08 20    6.8e+05  1.5e+04  3.6e+03   1.2e+09    3.1e+07          -999.99
2010 08 21    4.5e+05  1.4e+04  3.6e+03   6.3e+08    1.2e+07          -999.99
2010 08 22    4.5e+05  1.4e+04  3.5e+03   5.4e+08    1.1e+07          -999.99
2010 08 23    8.5e+05  1.4e+04  3.4e+03   2.7e+08    4.0e+06          -999.99
2010 08 24    1.2e+06  1.4e+04  3.2e+03   4.0e+08    1.1e+06          -999.99
2010 08 25    2.9e+06  1.6e+04  3.3e+03   2.9e+09    7.1e+07          -999.99
2010 08 26    2.4e+06  1.6e+04  3.3e+03   7.5e+09    7.1e+08          -999.99
2010 08 27    6.9e+05  1.5e+04  3.3e+03   4.2e+09    2.2e+08          -999.99
2010 08 28    8.9e+05  1.5e+04  3.5e+03   5.9e+09    3.8e+08          -999.99
2010 08 29    6.3e+05  1.5e+04  3.5e+03   6.7e+09    4.1e+08          -999.99
2010 08 30    9.3e+05  1.5e+04  3.7e+03   6.2e+09    4.2e+08          -999.99
2010 08 31    1.5e+06  1.5e+04  3.6e+03   5.7e+09    4.1e+08          -999.99
2010 09 01    1.8e+06  1.6e+04  3.5e+03   4.3e+09    2.6e+08          -999.99
2010 09 02    2.7e+05  1.4e+04  3.6e+03   8.3e+08    3.1e+07          -999.99
2010 09 03    1.2e+05  1.5e+04  3.5e+03   1.0e+09    3.1e+07          -999.99
2010 09 04    1.8e+05  1.5e+04  3.8e+03   1.1e+09    3.8e+07          -999.99
2010 09 05    4.1e+05  1.5e+04  3.5e+03   1.1e+09    5.3e+07          -999.99
2010 09 06    1.8e+06  1.5e+04  3.4e+03   4.2e+08    1.2e+07          -999.99
2010 09 07    6.8e+05  1.4e+04  3.4e+03   6.9e+08    1.4e+07          -999.99
2010 09 08    3.0e+05  1.4e+04  3.3e+03   4.0e+08    7.5e+06          -999.99
2010 09 09    7.2e+05  2.1e+04  3.7e+03   3.4e+08    1.7e+06          -999.99
2010 09 10    4.4e+05  1.5e+04  3.5e+03   4.6e+08    2.6e+06          -999.99
2010 09 11    5.2e+05  1.5e+04  3.6e+03   4.7e+08    3.5e+06          -999.99
2010 09 12    7.2e+05  1.4e+04  3.5e+03   4.7e+08    4.8e+06          -999.99
2010 09 13    8.8e+05  1.4e+04  3.3e+03   4.4e+08    6.6e+06          -999.99
2010 09 14    2.5e+05  1.4e+04  3.4e+03   7.5e+07    1.6e+06          -999.99
2010 09 15    1.3e+05  1.4e+04  3.2e+03   2.6e+08    1.2e+06          -999.99
2010 09 16    2.4e+05  1.4e+04  3.1e+03   2.5e+08    1.4e+06          -999.99
2010 09 17    1.9e+05  1.4e+04  3.4e+03   8.7e+08    1.9e+06          -999.99
2010 09 18    1.5e+05  1.4e+04  3.6e+03   1.4e+09    3.9e+06          -999.99
2010 09 19    2.7e+05  1.4e+04  3.5e+03   1.2e+09    5.2e+06          -999.99
2010 09 20    3.2e+05  1.4e+04  3.6e+03   9.2e+08    4.3e+06          -999.99
2010 09 21    1.9e+05  1.4e+04  3.5e+03   2.7e+08    1.4e+06          -999.99
2010 09 22    2.2e+05  1.4e+04  3.3e+03   2.4e+08    1.4e+06          -999.99
2010 09 23    4.1e+05  1.3e+04  3.3e+03   1.5e+08    1.3e+06          -999.99
2010 09 24    5.5e+05  1.4e+04  3.3e+03   5.8e+08    2.8e+06          -999.99
2010 09 25    1.6e+05  1.4e+04  3.1e+03   2.4e+09    1.5e+07          -999.99
2010 09 26    2.8e+05  1.4e+04  3.6e+03   2.9e+09    2.3e+07          -999.99
2010 09 27    3.7e+05  1.4e+04  3.3e+03   2.1e+09    1.9e+07          -999.99
2010 09 28    3.6e+05  1.3e+04  3.4e+03   1.0e+09    9.8e+06          -999.99
2010 09 29    1.4e+05  1.4e+04  3.4e+03   1.0e+09    9.9e+06          -999.99
2010 09 30    2.2e+05  1.4e+04  3.5e+03   1.0e+09    1.1e+07          -999.99
2010 10 01    3.0e+05  1.4e+04  3.6e+03   8.8e+08    1.1e+07          -999.99
2010 10 02    3.4e+05  1.4e+04  3.4e+03   8.5e+08    1.2e+07          -999.99
2010 10 03    3.9e+05  1.4e+04  3.7e+03   7.0e+08    1.1e+07          -999.99
2010 10 04    5.7e+05  1.4e+04  3.6e+03   6.5e+08    1.2e+07          -999.99
2010 10 05    2.2e+05  1.4e+04  3.4e+03   2.6e+08    2.4e+06          -999.99
2010 10 06    1.7e+05  1.3e+04  3.1e+03   2.0e+08    1.5e+06          -999.99
2010 10 07    9.2e+04  1.4e+04  3.6e+03   4.7e+08    1.5e+06          -999.99
2010 10 08    8.4e+04  1.5e+04  3.8e+03   2.9e+08    1.2e+06          -999.99
2010 10 09    1.0e+05  1.4e+04  3.7e+03   2.9e+08    1.3e+06          -999.99
2010 10 10    1.8e+05  1.5e+04  3.5e+03   3.1e+08    1.7e+06          -999.99
2010 10 11    4.7e+05  1.4e+04  3.3e+03   4.5e+07    8.6e+05          -999.99
2010 10 12    1.4e+05  1.4e+04  3.3e+03   9.3e+08    3.0e+06          -999.99
2010 10 13    3.4e+05  1.5e+04  3.5e+03   2.5e+09    3.1e+07          -999.99
